A_known,A_learning,A_skill,A_streak,B_known,B_learning,B_skill,B_streak,label
2,1,3,64,7,6,1,86,0
5,1,1,35,2,8,2,80,0
8,7,1,82,7,8,3,68,1
11,2,1,91,11,2,2,72,1
8,6,3,10,9,5,2,87,0
9,10,2,75,10,9,2,68,1
7,2,3,93,7,2,1,48,1
10,6,1,86,5,9,1,10,0
11,7,3,83,8,9,3,31,0
5,11,3,60,11,5,3,58,1
2,6,2,23,7,4,1,20,0
11,6,1,87,11,6,1,95,1
4,1,3,93,11,2,1,91,0
6,10,1,99,6,10,3,43,1
10,2,2,43,4,6,1,47,0
9,6,1,88,4,9,1,33,0
10,8,2,87,5,7,2,79,0
5,6,2,89,10,9,1,33,0
7,8,1,28,10,3,2,46,0
10,1,3,6,3,4,3,47,0
4,6,3,98,7,8,1,5,0
2,6,2,77,2,7,1,42,0
11,10,1,4,4,11,1,66,0
11,6,1,87,10,1,2,25,0
1,3,3,69,10,7,3,40,0
1,10,2,70,7,10,2,7,0
2,4,2,70,4,2,2,63,1
11,10,3,42,11,10,1,36,1
2,9,2,31,6,10,3,85,0
4,1,1,35,4,1,1,38,1
4,3,1,78,10,8,1,82,0
1,5,3,68,4,5,1,91,0
10,11,1,24,11,2,1,78,0
11,7,3,83,7,11,3,62,1
2,7,1,100,2,7,1,42,1
8,3,2,68,9,5,3,84,0
1,5,2,1,6,10,3,97,0
8,1,3,45,8,1,1,84,1
4,6,3,98,10,8,3,31,0
2,11,2,62,1,7,1,83,0
9,10,1,25,5,7,3,74,0
2,4,2,28,1,8,1,22,0
6,9,1,13,6,9,3,90,1
6,5,2,60,2,8,1,48,0
6,4,1,65,6,2,2,15,0
7,8,1,5,8,7,1,82,1
4,5,2,5,10,3,1,26,0
1,8,3,5,4,6,1,98,0
2,7,2,37,2,7,3,53,1
6,8,2,11,8,6,2,8,1
10,4,1,79,3,11,2,99,0
2,6,2,6,7,9,1,84,0
7,1,2,4,1,6,1,52,0
